State and territory,Leave entitlements,Industry,Classification,Category,Median ,<edian Male,Median Female
Australia,Total employees,"Agriculture, forestry and fishing",Full-time or part-time status,Full-time,"1,250.0","1,244.5","1,275.5"
Australia,Total employees,Mining,Full-time or part-time status,Full-time,"2,452.3","2,612.6","1,738.2"
Australia,Total employees,Manufacturing,Full-time or part-time status,Full-time,"1,512.1","1,571.0","1,400.0"
Australia,Total employees,"Electricity, gas, water and waste services",Full-time or part-time status,Full-time,"2,000.0","2,052.7","1,701.5"
Australia,Total employees,Construction,Full-time or part-time status,Full-time,"1,538.0","1,550.0","1,400.0"
Australia,Total employees,Wholesale trade,Full-time or part-time status,Full-time,"1,472.2","1,507.0","1,301.6"
Australia,Total employees,Retail trade,Full-time or part-time status,Full-time,"1,228.9","1,349.5","1,150.0"
Australia,Total employees,Accommodation and food services,Full-time or part-time status,Full-time,"1,193.1","1,247.2","1,114.0"
Australia,Total employees,"Transport, postal and warehousing",Full-time or part-time status,Full-time,"1,550.5","1,605.5","1,397.3"
Australia,Total employees,Information Media and telecommunications,Full-time or part-time status,Full-time,"1,803.1","1,918.4","1,600.0"
Australia,Total employees,Financial and insurance services,Full-time or part-time status,Full-time,"1,899.0","2,199.4","1,686.2"
Australia,Total employees,"Rental, hiring and real estate services",Full-time or part-time status,Full-time,"1,395.0","1,455.7","1,301.9"
Australia,Total employees,"Professional, scientific and technical services",Full-time or part-time status,Full-time,"1,900.0","2,109.0","1,726.0"
Australia,Total employees,Administrative and support services,Full-time or part-time status,Full-time,"1,400.0","1,531.4","1,343.6"
Australia,Total employees,Public administration and safety,Full-time or part-time status,Full-time,"1,750.0","1,800.0","1,724.3"
Australia,Total employees,Education and training,Full-time or part-time status,Full-time,"1,750.0","1,931.9","1,690.6"
Australia,Total employees,Health care and social assistance,Full-time or part-time status,Full-time,"1,579.4","1,750.0","1,530.0"
Australia,Total employees,Arts and recreation services,Full-time or part-time status,Full-time,"1,450.0","1,596.8","1,300.0"
Australia,Total employees,Other services,Full-time or part-time status,Full-time,"1,350.0","1,488.8","1,160.0"
Australia,Total employees,Total,Full-time or part-time status,Full-time,"1,600.0","1,692.0","1,500.0"
   New South Wales,Total employees,"Agriculture, forestry and fishing",Full-time or part-time status,Full-time,"1,216.8","1,200.0",0.0
   New South Wales,Total employees,Mining,Full-time or part-time status,Full-time,"2,750.6","2,822.4",0.0
   New South Wales,Total employees,Manufacturing,Full-time or part-time status,Full-time,"1,607.5","1,650.0","1,525.6"
   New South Wales,Total employees,"Electricity, gas, water and waste services",Full-time or part-time status,Full-time,"1,903.2","1,942.9","1,454.5"
   New South Wales,Total employees,Construction,Full-time or part-time status,Full-time,"1,501.0","1,501.1","1,589.8"
   New South Wales,Total employees,Wholesale trade,Full-time or part-time status,Full-time,"1,491.2","1,503.4","1,336.0"
   New South Wales,Total employees,Retail trade,Full-time or part-time status,Full-time,"1,301.6","1,361.4","1,200.0"
   New South Wales,Total employees,Accommodation and food services,Full-time or part-time status,Full-time,"1,252.8","1,385.2","1,199.8"
   New South Wales,Total employees,"Transport, postal and warehousing",Full-time or part-time status,Full-time,"1,567.8","1,629.3","1,399.7"
   New South Wales,Total employees,Information Media and telecommunications,Full-time or part-time status,Full-time,"2,006.1","2,301.0","1,768.4"
   New South Wales,Total employees,Financial and insurance services,Full-time or part-time status,Full-time,"2,202.0","2,401.2","2,000.0"
   New South Wales,Total employees,"Rental, hiring and real estate services",Full-time or part-time status,Full-time,"1,412.9","1,738.3","1,332.0"
   New South Wales,Total employees,"Professional, scientific and technical services",Full-time or part-time status,Full-time,"2,000.0","2,224.8","1,818.6"
   New South Wales,Total employees,Administrative and support services,Full-time or part-time status,Full-time,"1,424.0","1,746.6","1,270.9"
   New South Wales,Total employees,Public administration and safety,Full-time or part-time status,Full-time,"1,768.4","1,748.0","1,842.0"
   New South Wales,Total employees,Education and training,Full-time or part-time status,Full-time,"1,775.0","1,912.6","1,749.7"
   New South Wales,Total employees,Health care and social assistance,Full-time or part-time status,Full-time,"1,600.0","1,726.0","1,558.0"
   New South Wales,Total employees,Arts and recreation services,Full-time or part-time status,Full-time,"1,355.3","1,379.8","1,300.0"
   New South Wales,Total employees,Other services,Full-time or part-time status,Full-time,"1,250.0","1,464.6","1,099.3"
   New South Wales,Total employees,Total,Full-time or part-time status,Full-time,"1,610.0","1,685.0","1,534.0"
   Victoria,Total employees,"Agriculture, forestry and fishing",Full-time or part-time status,Full-time,"1,136.1","1,183.5","1,017.4"
   Victoria,Total employees,Mining,Full-time or part-time status,Full-time,"2,471.2","2,542.2",0.0
   Victoria,Total employees,Manufacturing,Full-time or part-time status,Full-time,"1,498.9","1,531.0","1,349.0"
   Victoria,Total employees,"Electricity, gas, water and waste services",Full-time or part-time status,Full-time,"2,215.7","2,231.8","2,143.9"
   Victoria,Total employees,Construction,Full-time or part-time status,Full-time,"1,621.4","1,644.6","1,517.1"
   Victoria,Total employees,Wholesale trade,Full-time or part-time status,Full-time,"1,577.1","1,600.0","1,456.0"
   Victoria,Total employees,Retail trade,Full-time or part-time status,Full-time,"1,282.8","1,449.0","1,200.0"
   Victoria,Total employees,Accommodation and food services,Full-time or part-time status,Full-time,"1,103.3","1,150.0","1,098.0"
   Victoria,Total employees,"Transport, postal and warehousing",Full-time or part-time status,Full-time,"1,544.9","1,600.0","1,400.5"
   Victoria,Total employees,Information Media and telecommunications,Full-time or part-time status,Full-time,"1,761.3","1,872.3","1,519.5"
   Victoria,Total employees,Financial and insurance services,Full-time or part-time status,Full-time,"1,825.6","2,201.9","1,476.4"
   Victoria,Total employees,"Rental, hiring and real estate services",Full-time or part-time status,Full-time,"1,382.9","1,284.7","1,439.6"
   Victoria,Total employees,"Professional, scientific and technical services",Full-time or part-time status,Full-time,"1,841.0","1,998.4","1,579.0"
   Victoria,Total employees,Administrative and support services,Full-time or part-time status,Full-time,"1,623.8","1,501.4","1,685.1"
   Victoria,Total employees,Public administration and safety,Full-time or part-time status,Full-time,"1,750.0","1,931.9","1,650.0"
   Victoria,Total employees,Education and training,Full-time or part-time status,Full-time,"1,748.3","2,012.5","1,627.2"
   Victoria,Total employees,Health care and social assistance,Full-time or part-time status,Full-time,"1,651.1","1,760.0","1,580.5"
   Victoria,Total employees,Arts and recreation services,Full-time or part-time status,Full-time,"1,610.0","1,706.5","1,336.1"
   Victoria,Total employees,Other services,Full-time or part-time status,Full-time,"1,350.0","1,322.7","1,350.0"
   Victoria,Total employees,Total,Full-time or part-time status,Full-time,"1,599.9","1,688.1","1,500.0"
   Queensland,Total employees,"Agriculture, forestry and fishing",Full-time or part-time status,Full-time,"1,424.3","1,500.0","1,387.1"
   Queensland,Total employees,Mining,Full-time or part-time status,Full-time,"2,211.5","2,430.7","1,532.0"
   Queensland,Total employees,Manufacturing,Full-time or part-time status,Full-time,"1,547.1","1,575.7","1,483.2"
   Queensland,Total employees,"Electricity, gas, water and waste services",Full-time or part-time status,Full-time,"1,999.7","2,000.0","1,898.2"
   Queensland,Total employees,Construction,Full-time or part-time status,Full-time,"1,500.0","1,500.0","1,173.1"
   Queensland,Total employees,Wholesale trade,Full-time or part-time status,Full-time,"1,409.2","1,568.7","1,267.9"
   Queensland,Total employees,Retail trade,Full-time or part-time status,Full-time,"1,145.0","1,248.2","1,086.6"
   Queensland,Total employees,Accommodation and food services,Full-time or part-time status,Full-time,"1,150.0","1,232.9","1,099.3"
   Queensland,Total employees,"Transport, postal and warehousing",Full-time or part-time status,Full-time,"1,677.5","1,992.5","1,378.3"
   Queensland,Total employees,Information Media and telecommunications,Full-time or part-time status,Full-time,"1,718.9","1,812.7",0.0
   Queensland,Total employees,Financial and insurance services,Full-time or part-time status,Full-time,"1,532.6","1,595.6","1,488.8"
   Queensland,Total employees,"Rental, hiring and real estate services",Full-time or part-time status,Full-time,"1,300.0","1,506.9","1,209.8"
   Queensland,Total employees,"Professional, scientific and technical services",Full-time or part-time status,Full-time,"1,913.4","2,307.5","1,500.0"
   Queensland,Total employees,Administrative and support services,Full-time or part-time status,Full-time,"1,270.2","1,303.3","1,249.0"
   Queensland,Total employees,Public administration and safety,Full-time or part-time status,Full-time,"1,701.4","1,800.0","1,600.0"
   Queensland,Total employees,Education and training,Full-time or part-time status,Full-time,"1,900.0","1,943.3","1,761.5"
   Queensland,Total employees,Health care and social assistance,Full-time or part-time status,Full-time,"1,557.1","1,987.0","1,500.0"
   Queensland,Total employees,Arts and recreation services,Full-time or part-time status,Full-time,"1,184.0","1,322.4","1,124.1"
   Queensland,Total employees,Other services,Full-time or part-time status,Full-time,"1,399.8","1,500.0","1,159.0"
   Queensland,Total employees,Total,Full-time or part-time status,Full-time,"1,547.0","1,668.4","1,424.8"
   South Australia,Total employees,"Agriculture, forestry and fishing",Full-time or part-time status,Full-time,"1,200.0","1,100.0","1,296.6"
   South Australia,Total employees,Mining,Full-time or part-time status,Full-time,"1,981.4","2,331.8","1,474.7"
   South Australia,Total employees,Manufacturing,Full-time or part-time status,Full-time,"1,400.3","1,441.8","1,309.2"
   South Australia,Total employees,"Electricity, gas, water and waste services",Full-time or part-time status,Full-time,"1,822.8","1,929.9","1,453.6"
   South Australia,Total employees,Construction,Full-time or part-time status,Full-time,"1,400.0","1,400.0","1,284.6"
   South Australia,Total employees,Wholesale trade,Full-time or part-time status,Full-time,"1,453.7","1,447.0","1,463.2"
   South Australia,Total employees,Retail trade,Full-time or part-time status,Full-time,"1,152.3","1,297.2","1,103.3"
   South Australia,Total employees,Accommodation and food services,Full-time or part-time status,Full-time,"1,057.1",985.6,"1,233.9"
   South Australia,Total employees,"Transport, postal and warehousing",Full-time or part-time status,Full-time,"1,388.0","1,400.0","1,287.3"
   South Australia,Total employees,Information Media and telecommunications,Full-time or part-time status,Full-time,"1,951.2","1,784.2",0.0
   South Australia,Total employees,Financial and insurance services,Full-time or part-time status,Full-time,"1,708.3","2,267.8","1,665.0"
   South Australia,Total employees,"Rental, hiring and real estate services",Full-time or part-time status,Full-time,"1,568.7","1,647.8","1,193.2"
   South Australia,Total employees,"Professional, scientific and technical services",Full-time or part-time status,Full-time,"1,746.5","2,000.0","1,500.5"
   South Australia,Total employees,Administrative and support services,Full-time or part-time status,Full-time,"1,200.0","1,506.3","1,138.8"
   South Australia,Total employees,Public administration and safety,Full-time or part-time status,Full-time,"1,778.8","2,000.0","1,650.0"
   South Australia,Total employees,Education and training,Full-time or part-time status,Full-time,"1,774.2","1,900.0","1,699.4"
   South Australia,Total employees,Health care and social assistance,Full-time or part-time status,Full-time,"1,448.0","1,448.5","1,440.6"
   South Australia,Total employees,Arts and recreation services,Full-time or part-time status,Full-time,"1,034.0",0.0,"1,268.4"
   South Australia,Total employees,Other services,Full-time or part-time status,Full-time,"1,126.4","1,149.5","1,010.8"
   South Australia,Total employees,Total,Full-time or part-time status,Full-time,"1,500.0","1,514.4","1,423.5"
   Western Australia,Total employees,"Agriculture, forestry and fishing",Full-time or part-time status,Full-time,"1,323.7","1,000.0","1,945.4"
   Western Australia,Total employees,Mining,Full-time or part-time status,Full-time,"2,500.0","2,704.2","1,901.3"
   Western Australia,Total employees,Manufacturing,Full-time or part-time status,Full-time,"1,637.3","1,683.1","1,562.2"
   Western Australia,Total employees,"Electricity, gas, water and waste services",Full-time or part-time status,Full-time,"1,900.4","2,013.0","1,664.1"
   Western Australia,Total employees,Construction,Full-time or part-time status,Full-time,"1,737.3","1,788.8","1,531.7"
   Western Australia,Total employees,Wholesale trade,Full-time or part-time status,Full-time,"1,393.3","1,605.1","1,069.8"
   Western Australia,Total employees,Retail trade,Full-time or part-time status,Full-time,"1,200.0","1,450.7","1,054.0"
   Western Australia,Total employees,Accommodation and food services,Full-time or part-time status,Full-time,"1,137.4","1,182.7","1,107.8"
   Western Australia,Total employees,"Transport, postal and warehousing",Full-time or part-time status,Full-time,"1,500.0","1,522.1","1,285.2"
   Western Australia,Total employees,Information Media and telecommunications,Full-time or part-time status,Full-time,"1,752.3","1,989.6",0.0
   Western Australia,Total employees,Financial and insurance services,Full-time or part-time status,Full-time,"1,975.6","2,012.1","1,906.6"
   Western Australia,Total employees,"Rental, hiring and real estate services",Full-time or part-time status,Full-time,"1,443.2","1,616.7","1,235.6"
   Western Australia,Total employees,"Professional, scientific and technical services",Full-time or part-time status,Full-time,"1,913.4","2,000.0","1,819.1"
   Western Australia,Total employees,Administrative and support services,Full-time or part-time status,Full-time,"1,589.1","1,700.0","1,532.5"
   Western Australia,Total employees,Public administration and safety,Full-time or part-time status,Full-time,"1,756.0","1,760.9","1,750.6"
   Western Australia,Total employees,Education and training,Full-time or part-time status,Full-time,"1,549.1","1,607.8","1,504.2"
   Western Australia,Total employees,Health care and social assistance,Full-time or part-time status,Full-time,"1,500.0","1,743.0","1,400.7"
   Western Australia,Total employees,Arts and recreation services,Full-time or part-time status,Full-time,"1,671.2","1,922.3","1,342.4"
   Western Australia,Total employees,Other services,Full-time or part-time status,Full-time,"1,495.3","1,625.8","1,126.5"
   Western Australia,Total employees,Total,Full-time or part-time status,Full-time,"1,700.0","1,842.7","1,500.0"
   Tasmania,Total employees,"Agriculture, forestry and fishing",Full-time or part-time status,Full-time,"1,346.5","1,344.8",0.0
   Tasmania,Total employees,Mining,Full-time or part-time status,Full-time,"2,225.1","2,193.9",0.0
   Tasmania,Total employees,Manufacturing,Full-time or part-time status,Full-time,"1,463.2","1,499.3","1,276.7"
   Tasmania,Total employees,"Electricity, gas, water and waste services",Full-time or part-time status,Full-time,"1,791.3","2,298.2","1,504.1"
   Tasmania,Total employees,Construction,Full-time or part-time status,Full-time,"1,273.4","1,333.4","1,022.9"
   Tasmania,Total employees,Wholesale trade,Full-time or part-time status,Full-time,"1,359.9","1,300.0",0.0
   Tasmania,Total employees,Retail trade,Full-time or part-time status,Full-time,"1,152.3","1,098.9","1,191.4"
   Tasmania,Total employees,Accommodation and food services,Full-time or part-time status,Full-time,"1,152.1","1,178.3","1,070.8"
   Tasmania,Total employees,"Transport, postal and warehousing",Full-time or part-time status,Full-time,"1,450.0","1,450.0","1,379.1"
   Tasmania,Total employees,Information Media and telecommunications,Full-time or part-time status,Full-time,"1,674.2","1,801.8",0.0
   Tasmania,Total employees,Financial and insurance services,Full-time or part-time status,Full-time,"1,913.8","2,046.9","1,816.8"
   Tasmania,Total employees,"Rental, hiring and real estate services",Full-time or part-time status,Full-time,"1,293.9",0.0,"1,209.4"
   Tasmania,Total employees,"Professional, scientific and technical services",Full-time or part-time status,Full-time,"1,704.9","1,868.1","1,533.7"
   Tasmania,Total employees,Administrative and support services,Full-time or part-time status,Full-time,"1,154.4","1,165.8","1,096.7"
   Tasmania,Total employees,Public administration and safety,Full-time or part-time status,Full-time,"1,745.8","1,750.0","1,733.6"
   Tasmania,Total employees,Education and training,Full-time or part-time status,Full-time,"1,727.9","1,783.4","1,652.8"
   Tasmania,Total employees,Health care and social assistance,Full-time or part-time status,Full-time,"1,637.2","1,550.0","1,654.3"
   Tasmania,Total employees,Arts and recreation services,Full-time or part-time status,Full-time,"1,701.0",0.0,0.0
   Tasmania,Total employees,Other services,Full-time or part-time status,Full-time,"1,170.9","1,257.0",988.6
   Tasmania,Total employees,Total,Full-time or part-time status,Full-time,"1,497.0","1,500.0","1,474.0"
   Northern Territory,Total employees,"Agriculture, forestry and fishing",Full-time or part-time status,Full-time,0.0,0.0,0.0
   Northern Territory,Total employees,Mining,Full-time or part-time status,Full-time,"2,749.7","2,758.4",0.0
   Northern Territory,Total employees,Manufacturing,Full-time or part-time status,Full-time,"1,456.1","1,775.3","1,337.1"
   Northern Territory,Total employees,"Electricity, gas, water and waste services",Full-time or part-time status,Full-time,"2,615.8","2,613.4",0.0
   Northern Territory,Total employees,Construction,Full-time or part-time status,Full-time,"1,592.3","1,600.0","1,325.0"
   Northern Territory,Total employees,Wholesale trade,Full-time or part-time status,Full-time,"1,677.7","1,714.1",0.0
   Northern Territory,Total employees,Retail trade,Full-time or part-time status,Full-time,"1,200.0","1,227.0","1,000.0"
   Northern Territory,Total employees,Accommodation and food services,Full-time or part-time status,Full-time,"1,196.7","1,314.2",903.7
   Northern Territory,Total employees,"Transport, postal and warehousing",Full-time or part-time status,Full-time,"1,808.8","1,855.7","1,263.4"
   Northern Territory,Total employees,Information Media and telecommunications,Full-time or part-time status,Full-time,0.0,0.0,0.0
   Northern Territory,Total employees,Financial and insurance services,Full-time or part-time status,Full-time,"1,270.2",0.0,0.0
   Northern Territory,Total employees,"Rental, hiring and real estate services",Full-time or part-time status,Full-time,"1,496.1",0.0,"1,426.2"
   Northern Territory,Total employees,"Professional, scientific and technical services",Full-time or part-time status,Full-time,"1,757.4","1,959.8","1,523.3"
   Northern Territory,Total employees,Administrative and support services,Full-time or part-time status,Full-time,"1,394.3",0.0,"1,344.4"
   Northern Territory,Total employees,Public administration and safety,Full-time or part-time status,Full-time,"1,874.0","1,904.2","1,856.3"
   Northern Territory,Total employees,Education and training,Full-time or part-time status,Full-time,"1,648.5","1,734.8","1,600.0"
   Northern Territory,Total employees,Health care and social assistance,Full-time or part-time status,Full-time,"1,500.0","1,750.0","1,450.7"
   Northern Territory,Total employees,Arts and recreation services,Full-time or part-time status,Full-time,"1,381.5","1,529.4",0.0
   Northern Territory,Total employees,Other services,Full-time or part-time status,Full-time,"1,710.9","1,870.2","1,070.6"
   Northern Territory,Total employees,Total,Full-time or part-time status,Full-time,"1,600.0","1,750.0","1,459.7"
   Australian Capital Territory,Total employees,"Agriculture, forestry and fishing",Full-time or part-time status,Full-time,0.0,0.0,0.0
   Australian Capital Territory,Total employees,Mining,Full-time or part-time status,Full-time,0.0,0.0,0.0
   Australian Capital Territory,Total employees,Manufacturing,Full-time or part-time status,Full-time,"1,157.2","1,256.6",0.0
   Australian Capital Territory,Total employees,"Electricity, gas, water and waste services",Full-time or part-time status,Full-time,0.0,0.0,0.0
   Australian Capital Territory,Total employees,Construction,Full-time or part-time status,Full-time,"1,686.2","1,684.2",0.0
   Australian Capital Territory,Total employees,Wholesale trade,Full-time or part-time status,Full-time,"1,493.1","1,479.3",0.0
   Australian Capital Territory,Total employees,Retail trade,Full-time or part-time status,Full-time,"1,250.0","1,304.6","1,115.7"
   Australian Capital Territory,Total employees,Accommodation and food services,Full-time or part-time status,Full-time,"1,498.9","1,504.5",0.0
   Australian Capital Territory,Total employees,"Transport, postal and warehousing",Full-time or part-time status,Full-time,"1,545.3","1,708.2",0.0
   Australian Capital Territory,Total employees,Information Media and telecommunications,Full-time or part-time status,Full-time,"1,615.9",0.0,0.0
   Australian Capital Territory,Total employees,Financial and insurance services,Full-time or part-time status,Full-time,"2,079.7","2,620.1","1,863.7"
   Australian Capital Territory,Total employees,"Rental, hiring and real estate services",Full-time or part-time status,Full-time,0.0,0.0,0.0
   Australian Capital Territory,Total employees,"Professional, scientific and technical services",Full-time or part-time status,Full-time,"2,074.0","2,245.9","2,013.0"
   Australian Capital Territory,Total employees,Administrative and support services,Full-time or part-time status,Full-time,"1,817.4","2,164.7",0.0
   Australian Capital Territory,Total employees,Public administration and safety,Full-time or part-time status,Full-time,"1,787.6","1,901.5","1,740.3"
   Australian Capital Territory,Total employees,Education and training,Full-time or part-time status,Full-time,"1,936.0","1,958.3","1,826.5"
   Australian Capital Territory,Total employees,Health care and social assistance,Full-time or part-time status,Full-time,"1,505.9","1,612.0","1,500.7"
   Australian Capital Territory,Total employees,Arts and recreation services,Full-time or part-time status,Full-time,"1,819.5",0.0,0.0
   Australian Capital Territory,Total employees,Other services,Full-time or part-time status,Full-time,"1,635.1","1,618.6",0.0
   Australian Capital Territory,Total employees,Total,Full-time or part-time status,Full-time,"1,745.2","1,750.0","1,720.4"